S (in)	X Coordinate (in)	Y Coordinate (in)	Z Coordinate (in)	Normal Stress (psi)
0.	18.53	93.427	3.0894e-015	66988
7.0124e-002	18.6	93.427	3.074e-015	66007
0.14025	18.67	93.427	3.0586e-015	63279
0.21037	18.74	93.427	3.0433e-015	60728
0.2805	18.81	93.427	3.0279e-015	58278
0.35062	18.881	93.427	3.0125e-015	55951
0.42075	18.951	93.427	2.9972e-015	53758
0.49087	19.021	93.427	2.9818e-015	51718
0.561	19.091	93.427	2.9664e-015	49802
0.63112	19.161	93.427	2.951e-015	48024
0.70124	19.231	93.427	2.9357e-015	46354
0.77137	19.301	93.427	2.9203e-015	44797
0.84149	19.371	93.427	2.9049e-015	43360
0.91162	19.442	93.427	2.8896e-015	41999
0.98174	19.512	93.427	2.8742e-015	40714
1.0519	19.582	93.427	2.8588e-015	39542
1.122	19.652	93.427	2.8435e-015	38407
1.1921	19.722	93.427	2.8281e-015	37336
1.2622	19.792	93.427	2.8127e-015	36350
1.3324	19.862	93.427	2.7973e-015	35367
1.4025	19.932	93.427	2.782e-015	34483
1.4726	20.003	93.427	2.7666e-015	33611
1.5427	20.073	93.427	2.7512e-015	32789
1.6129	20.143	93.427	2.7359e-015	31997
1.683	20.213	93.427	2.7205e-015	31254
1.7531	20.283	93.427	2.7051e-015	30535
1.8232	20.353	93.427	2.6898e-015	29825
1.8934	20.423	93.427	2.6744e-015	29184
1.9635	20.493	93.427	2.659e-015	28535
2.0336	20.564	93.427	2.6436e-015	27909
2.1037	20.634	93.427	2.6283e-015	27335
2.1739	20.704	93.427	2.6129e-015	26755
2.244	20.774	93.427	2.5975e-015	26188
2.3141	20.844	93.427	2.5822e-015	25669
2.3842	20.914	93.427	2.5668e-015	25149
2.4544	20.984	93.427	2.5514e-015	24629
2.5245	21.054	93.427	2.5361e-015	24166
2.5946	21.125	93.427	2.5207e-015	23703
2.6647	21.195	93.427	2.5053e-015	23240
2.7349	21.265	93.427	2.4899e-015	22784
2.805	21.335	93.427	2.4746e-015	22374
2.8751	21.405	93.427	2.4592e-015	21965
2.9452	21.475	93.427	2.4438e-015	21557
3.0153	21.545	93.427	2.4285e-015	21151
3.0855	21.615	93.427	2.4131e-015	20769
3.1556	21.686	93.427	2.3977e-015	20411
3.2257	21.756	93.427	2.3824e-015	20055
3.2958	21.826	93.427	2.367e-015	19701
3.366	21.896	93.427	2.3516e-015	19347
3.4361	21.966	93.427	2.3362e-015	19014
3.5062	22.036	93.427	2.3209e-015	18704
3.5763	22.106	93.427	2.3055e-015	18394
3.6465	22.176	93.427	2.2901e-015	18085
3.7166	22.247	93.427	2.2748e-015	17775
